method,gesture_index,point_index,x,y,time_offset_ms,pressure,touch_major,touch_minor,vx_px_s,vy_px_s,accel_px_s2,curvature
"test2",50,0,604.00,1202.00,0,0.1575,104.00,99.00,0.00,0.00,0.0000,0.00000000
"test2",50,1,604.00,1202.00,6,0.2598,137.00,124.00,0.00,0.00,0.0000,0.00000000
"test2",50,2,604.00,1202.00,11,0.2677,138.00,124.00,0.00,0.00,0.0000,0.00000000
"test2",50,3,604.00,1202.00,13,0.2677,138.00,124.00,0.00,0.00,0.0000,0.00000000
"test2",50,4,604.00,1202.00,16,0.2677,138.00,125.00,0.00,0.00,0.0000,0.00000000
"test2",50,5,604.00,1202.00,21,0.2677,139.00,125.00,0.00,0.00,0.0000,0.00000000
"test2",50,6,604.00,1202.00,24,0.2677,138.00,124.00,0.00,0.00,0.0000,0.00000000
"test2",50,7,604.00,1202.00,27,0.3386,158.00,138.00,0.00,0.00,113137.0859,0.00000000
"test2",50,8,604.00,1202.00,32,0.3386,159.00,138.00,-400.00,-400.00,0.0000,0.00000000
"test2",50,9,602.00,1200.00,37,0.3386,159.00,138.00,-400.00,-400.00,0.0000,0.00000000
"test2",50,10,601.98,1199.98,37,0.3386,159.00,138.00,-395.28,-1795.29,214587.1250,0.00247614
"test2",50,11,600.00,1191.00,42,0.3465,162.00,138.00,-666.67,-2833.33,0.0000,0.00000000
"test2",50,12,596.00,1174.00,48,0.3543,167.00,138.00,-666.67,-2833.33,0.0000,0.00000000
"test2",50,13,595.75,1172.93,48,0.3543,167.00,138.00,-549.62,-3585.91,216378.3906,0.00323362
"test2",50,14,593.00,1155.00,53,0.3701,175.00,139.00,-500.00,-4666.67,0.0000,0.00000000
"test2",50,15,590.00,1127.00,59,0.4016,186.00,140.00,-500.00,-4666.67,0.0000,0.00000000
"test2",50,16,589.60,1123.24,59,0.4016,186.00,140.00,-719.52,-6848.83,633465.9375,0.00272862
"test2",50,17,586.00,1089.00,64,0.4409,203.00,141.00,-400.00,-10000.00,210715.4844,0.00000006
"test2",50,18,584.00,1039.00,69,0.4882,222.00,142.00,-442.14,-11052.73,981896.3125,0.00277682
"test2",50,19,583.56,1027.95,70,0.4882,222.00,142.00,-139.47,-11986.82,259995.3125,0.00109580
"test2",50,20,583.00,980.00,74,0.5512,245.00,144.00,500.00,-11166.67,146943.4063,0.00000001
"test2",50,21,586.00,913.00,80,0.5984,269.00,144.00,460.57,-10285.89,4083921.0000,0.00886078
"test2",50,22,586.92,892.43,82,0.5984,269.00,144.00,2692.95,-18142.74,848146.1875,0.00027881
"test2",50,23,595.00,838.00,85,0.6535,293.00,145.00,2600.00,-15600.00,888237.8125,0.00000000
"test2",50,24,608.00,760.00,90,0.7165,315.00,146.00,1869.87,-11219.24,9478328.0000,0.00000000
"test2",50,25,613.61,726.34,93,0.7165,315.00,146.00,-2804.81,16828.86,0.0000,0.00000000
"test2",50,26,608.00,760.00,95,0.7165,315.00,146.00,-2804.81,16828.86,0.0000,0.00000000
"test2",49,0,615.00,1257.00,0,0.2283,123.00,121.00,0.00,0.00,0.0000,0.00000000
"test2",49,1,615.00,1257.00,10,0.2362,124.00,122.00,0.00,0.00,0.0000,0.00000000
"test2",49,2,615.00,1257.00,16,0.2362,126.00,122.00,0.00,0.00,707106.7500,0.00000000
"test2",49,3,615.00,1257.00,18,0.2362,126.00,122.00,-1000.00,-1000.00,229061.4219,0.05892558
"test2",49,4,612.00,1254.00,21,0.2441,131.00,123.00,-1166.67,-1666.67,328044.4688,0.01267942
"test2",49,5,605.00,1244.00,27,0.2677,138.00,124.00,-2022.90,-3438.93,56464.1641,0.00000006
"test2",49,6,596.91,1230.24,31,0.2677,138.00,124.00,-1908.39,-3244.26,763470.0625,0.03364081
"test2",49,7,595.00,1227.00,32,0.2913,149.00,126.00,-1800.00,-4000.00,251139.9688,0.00523971
"test2",49,8,586.00,1207.00,37,0.3228,162.00,129.00,-1812.29,-5255.64,0.0000,0.00000000
"test2",49,9,576.94,1180.72,42,0.3228,162.00,129.00,-1812.29,-5255.64,0.0000,0.00000000
"test2",49,10,576.00,1178.00,42,0.3622,178.00,132.00,-1333.33,-6166.67,339071.0000,0.00152637
"test2",49,11,568.00,1141.00,48,0.4016,195.00,135.00,-1400.00,-8200.00,0.0000,0.00000000
"test2",49,12,561.00,1100.00,53,0.4567,213.00,138.00,-1400.00,-8200.00,0.0000,0.00000000
"test2",49,13,560.92,1099.51,53,0.4567,213.00,138.00,-583.26,-9301.95,200069.0313,0.00043475
"test2",49,14,558.00,1053.00,58,0.4961,229.00,141.00,-333.33,-8333.33,0.0000,0.00000000
"test2",49,15,556.00,1003.00,64,0.5512,244.00,145.00,-333.33,-8333.33,0.0000,0.00000000
"test2",49,16,555.79,997.78,64,0.5512,244.00,145.00,41.78,-9555.30,272828.7188,0.00121081
"test2",49,17,556.00,950.00,69,0.5906,257.00,148.00,600.00,-10800.00,51216.3242,0.00000003
"test2",49,18,559.00,896.00,74,0.6220,267.00,151.00,585.82,-10544.31,1979922.3750,0.00716200
