gesture_index,method,target_element,gesture_type,start_x,start_y,end_x,end_y,timestamp_ms,duration_ms,avg_pressure,max_pressure,touch_major,touch_minor,avg_size,max_speed_x,max_speed_y,max_speed,total_distance,max_acceleration,avg_curvature,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gravity_x,gravity_y,gravity_z,linear_x,linear_y,linear_z,mag_x,mag_y,mag_z,pointer_count,trajectory_points
50,"test3","",SWIPE,488.74,711.78,362.74,220.78,1784893247670,1024,0.9412,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,516.55,8642.40,0.00040013,-0.3781,3.5186,9.0556,-0.012370,0.021075,-0.024282,-0.2522,3.4584,9.1767,-0.1259,0.0602,-0.1211,-14.3228,17.2508,-17.9462,1,17
49,"test3","",SWIPE,720.74,713.73,499.74,204.73,1784893245454,1013,0.9412,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,555.54,4851.20,0.00038026,-0.2411,3.3846,9.2842,-0.032376,-0.007483,-0.016799,-0.2596,3.4459,9.1812,0.0185,-0.0612,0.1029,-13.6884,18.3366,-19.7640,1,17
48,"test3","",SWIPE,506.74,762.73,591.74,265.73,1784893243230,1214,0.9474,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,513.82,11384.41,0.03247618,-0.2578,3.5515,8.9988,-0.017257,-0.015730,-0.006109,-0.2500,3.5852,9.1280,-0.0078,-0.0336,-0.1292,-14.5912,17.3362,-19.3370,1,19
47,"test3","",SWIPE,447.74,757.73,346.74,266.73,1784893241009,1079,0.9474,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,515.33,8839.01,0.09640788,-0.1501,3.2177,9.2513,0.012370,0.006872,-0.011912,-0.2352,3.2372,9.2575,0.0850,-0.0195,-0.0062,-13.5298,17.4582,-18.2268,1,19
46,"test3","",SWIPE,578.74,750.73,546.74,228.73,1784893238727,1080,0.9444,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,522.98,10542.27,0.00006318,-0.1926,3.2273,9.0796,-0.107054,0.013744,-0.019548,-0.1973,3.2595,9.2506,0.0046,-0.0322,-0.1710,-14.8718,17.3362,-18.3244,1,18
45,"test3","",SWIPE,423.74,787.73,298.74,325.73,1784893236623,1023,0.9375,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,478.62,10527.94,0.00020180,0.0108,3.1555,9.6042,-0.089339,-0.008858,-0.003360,-0.1335,3.3130,9.2327,0.1443,-0.1575,0.3715,-14.5180,17.1776,-17.9828,1,16
44,"test3","",SWIPE,676.74,777.73,481.74,283.73,1784893234516,969,0.9375,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,531.10,3920.47,0.00001526,-0.1107,3.3272,9.1232,-0.023213,0.000916,0.012675,-0.0757,3.4035,9.2004,-0.0349,-0.0762,-0.0771,-15.2744,17.3606,-18.5318,1,16
43,"test3","",SWIPE,259.74,808.73,699.74,497.73,1784893232721,1078,0.9412,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,550.83,7007.44,0.00086731,-0.1023,3.3224,9.3230,0.003512,0.002443,-0.008247,-0.0684,3.4242,9.1927,-0.0338,-0.1018,0.1303,-15.9454,16.5310,-19.7030,1,17
42,"test3","",SWIPE,486.74,822.73,276.74,288.73,1784893230377,1147,0.9474,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,575.56,7288.27,0.02655788,0.1005,3.3314,9.0622,-0.015882,-0.002291,0.002902,-0.0524,3.4342,9.1891,0.1529,-0.1028,-0.1269,-15.1646,17.2874,-19.1418,1,19
41,"test3","",SWIPE,684.74,786.73,457.74,319.73,1784893228218,1012,0.9444,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,523.16,10181.66,0.03487376,-0.1400,3.4421,9.1801,0.017868,-0.006261,0.002749,-0.0464,3.4314,9.1902,-0.0936,0.0107,-0.0101,-13.9446,17.4094,-17.9950,1,18
40,"test3","",SWIPE,292.74,782.73,710.74,473.73,1784893226283,1092,0.9412,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,525.08,12290.39,0.30988094,0.1089,3.3314,9.1765,-0.002443,-0.008247,-0.026573,-0.0068,3.4201,9.1945,0.1156,-0.0887,-0.0180,-15.3232,17.3972,-17.9096,1,17
39,"test3","",SWIPE,609.74,759.73,277.74,290.73,1784893224069,1090,0.9474,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,576.26,10795.23,0.03722783,-0.0682,3.3990,9.2094,0.011454,-0.006109,-0.012065,-0.0309,3.3966,9.2032,-0.0373,0.0024,0.0062,-14.7742,18.1902,-19.2394,1,19
38,"test3","",SWIPE,316.40,792.20,596.40,284.20,1784893221590,1204,0.9474,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,580.89,9465.21,0.03736889,0.0419,3.3272,9.1669,0.009621,-0.003207,-0.017257,-0.0150,3.4129,9.1972,0.0569,-0.0857,-0.0303,-15.4940,17.2752,-19.1052,1,19
37,"test3","",SWIPE,709.40,811.20,290.40,391.20,1784893219546,1090,0.9444,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,593.53,11843.28,0.00120908,0.0526,3.3649,9.0622,-0.034972,0.018173,0.005345,-0.0595,3.4231,9.1932,0.1121,-0.0582,-0.1310,-14.2862,17.6412,-18.3488,1,18
36,"test3","",SWIPE,478.40,796.20,628.40,283.20,1784893217338,1069,0.9474,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,535.23,10995.50,0.00218515,0.0090,3.4415,9.1334,0.037874,-0.006567,0.025198,-0.0143,3.4479,9.1841,0.0233,-0.0064,-0.0507,-14.9084,17.3728,-17.4704,1,19
35,"test3","",SWIPE,631.40,898.20,382.40,300.20,1784893214975,1215,0.9524,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,648.18,11033.21,0.03292373,-0.1394,3.6233,9.2285,0.046884,0.002138,0.054214,-0.0592,3.4904,9.1679,-0.0801,0.1330,0.0606,-14.6766,17.8486,-17.8486,1,21
